Question,Answer
"Is a process in place to de-provision or modify the access, in a timely manner,
of movers / leavers or system identity changes, to effectively adopt and communicate
identity and access management policies?
","IBM services, following IBM’s policies and standards (see IAM-08), require immediate de-provisioning of access to data and/or systems, equipment, and other assets when a user’s status changes due to termination of employment or business relationship. For IBM personnel, including supplemental and contract, much of this is automated.  Personnel transfer or other changes are controlled with transition plans ending with de-provisioning of access. 

IBM services will share this information with authorized customer representatives, as specified by contractual, legal, and regulatory controls, upon request.

IBM requires that access be disabled or removed within 24 hours of a person leaving their job. Prompt removal or modification of access privilege when job function changes are addressed in the product/service offering policies, processes, and implementing procedures in accordance with least-privilege and separation of duties. 
"
"Are reviews and revalidation of user access for least privilege and separation
of duties completed with a frequency commensurate with organizational risk tolerance?
","IBM Cloud has daily reconciliation processes which verify that all privileged users are still valid in the IBM Employee directory.

Automated tools, such as the IBM Cloud User Access Management tools, are used to manage access to IBM accounts.  Automation is used for offboarding of users who have left the organization.  

See IAM-04.1 response."
"Are processes, procedures, and technical measures for the segregation of privileged
access roles defined, implemented, and evaluated such that administrative data
access, encryption, key management capabilities, and logging capabilities are
distinct and separate?
","In accordance with IBM internal policies, IBM Cloud Services implement controls to help ensure secure access management through segregation of privilege access roles including other mechanisms such as key and certificate management, encryption, and logging.

These measures comply with all industry best practices, statutory, regulatory, and contractual requirements. "
"Is an access process defined and implemented to ensure privileged access roles
and rights are granted for a limited period?
","This is part of the least-privilege and separation of duties requirements for access.  

See IAM-03.1 and 04.1 above.
"
"Are procedures implemented to prevent the culmination of segregated privileged
access?
","The accumulation of privileged access is an issue that is addressed in the separation of duties policies and reviewed during Continued Business Need (CBN) revalidation process.
See IAM-03.1 and IAM-04.1 above."
"Are processes and procedures for customers to participate, where applicable,
in granting access for agreed, high risk as (defined by the organizational risk
assessment) privileged access roles defined, implemented and evaluated?
","IBM Cloud supports federation with customers’ Identity Providers using SAML. This gives the customer the ability to manage the users in their Identity Providers according to their own requirements and processes.

Customers are involved in product/service offerings to the extent that the offering technically allows and as required by business needs.
For some other offerings, the customer controls access to the application/system instance and grants IBM staff access to assist the customer.
Participation in some offerings is limited to an agreement that IBM will assign access as needed for the specified purposes within specified limits.
See the service description and data processing agreement exhibit for the specific offering. 
"
"Are processes, procedures, and technical measures to ensure the logging infrastructure
is ""read-only"" for all with write access (including privileged access roles) defined,
implemented, and evaluated?
","Access to audit information is restricted to authorized personnel only. In order to gain access to the auditing tools, individuals must be granted access through membership in defined processes, then be able to authenticate through a bastion host that requires two-factor authentication.

IBM Cloud uses SIEM tools for audit log correlation, retention, alerting, and notification. Suspicious activity is alerted on and follows incident response procedures and escalations.  

Audit logs produced are configured to include the type of event, the host that originated the log message, the date and time the event occurred, the application of command generating the event, the outcome of the event, and the identity of the user/subject that was generated/associated with the event. These events are sent and stored in log aggregate/correlation tools (SIEM).

IBM Cloud process and procedures comply with SOC, PCI DSS and ISO 27001.
"
"Is the ability to disable the ""read-only"" configuration of logging infrastructure
controlled through a procedure that ensures the segregation of duties and break
glass procedures?
","Policy requirements, and implementing processes and procedures limit the ability to change the ""read-only"" access privilege for local logging information.  For centrally managed SIEM logging infrastructure, the ability to change logging configuration is strictly controlled according to least privilege/SOD/break-glass principles by design. The ability to disable centrally managed SIEM 'read-only' configuration is not permitted under any circumstances."
"Are processes, procedures, and technical measures that ensure users are identifiable
through unique identification (or can associate individuals with user identification
usage) defined, implemented, and evaluated?
","All users request privileged access to IBM Cloud systems via an IBM Cloud User Access Management tool. Approval is required from both the employee manager and the system access owner. This provides the user with role based access to the requested system. Least privilege policies ensure those roles have minimal access required.

IBM assigns a unique identifier when the employee joins IBM, per authorization from HR. Identifiers are unique per employee and cannot be reused. If the employee leaves, is terminated, or takes long-term leave of absence, the identifier is disabled.
"
"Are processes, procedures, and technical measures for authenticating access
to systems, application, and data assets including multifactor authentication
for a least-privileged user and sensitive data access defined, implemented, and
evaluated?
","IBM Cloud IAM supports three multi-factor authentication methods: email-based passcodes, TOTP applications, and U2F hardware key.
                                                                                                                                                      In accordance with industry best practices, statutory, regulatory, and contractual requirements, IBM requires all product/service offerings to implement the appropriate processes, procedures, and technical measures, including multifactor authentication and following least-privilege & least-function principles."
"Are digital certificates or alternatives that achieve an equivalent security
level for system identities adopted?
",IBM product and service offerings engage reputable certificate authorities to obtain and use PKI certificates for all systems and applications.  All network traffic is encrypted and uses secure protocols (at least TLS1.2) that leverage such system/application identification.
"Are processes, procedures, and technical measures for the secure management
of passwords defined, implemented, and evaluated?
","IBM, as per internal policies, implements measures to help ensure secure management of passwords and other authenticators such as keys and certificates.  These measures meet all industry best practices, statutory, regulatory, and contractual requirements."
"Are processes, procedures, and technical measures to verify access to data
and system functions authorized, defined, implemented, and evaluated?
","All networks, systems, and applications verify access and privileges for all access attempts.  All such access attempts are required to be logged and monitored.  Access to system functions/utilities and data are limited to authorized users according to privilege levels assigned to that ID, and such activities are also logged and monitored."
"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for communications between application services
(e.g., APIs)?
","IBM maintains policies and procedures to govern and verify that IBM service applications and APIs are developed, tested, deployed, and maintained using industry and internal standards.  
IBM’s Secure Engineering, and Security and Privacy by Design (SPbD) guidelines provide high standards for IBM’s security and privacy practices, including architecture and code reviews; risk assessment and remediation; pre- and post-deployment security testing, including regular vulnerability scanning and penetration testing; security information and event logging and monitoring; automated security configuration verification and management; and identity and access management.
In addition to ensuring a consistently high level of security for IBM services, such reviews, monitoring, and testing, configuration and identify management, and internal and external audits, provide regular confirmation of IBM’s adherence to its legal obligations and stated technical and organizational security and privacy measures. All policies, processes, and procedures are documented, reviewed and approved on at least an annual basis, implemented and communicated to all stakeholders.

IBM services support the use of industry standard, open-format, APIs as published in each offering’s documentation.

IBM Cloud API's are listed in following link https://cloud.ibm.com/docs?tab=api-docs"
"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for information processing interoperability?
",See IPY-01.1
"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for application development portability?
",See IPY-01.1
"Are policies and procedures established, documented, approved, communicated,
applied, evaluated, and maintained for information/data exchange, usage, portability,
integrity, and persistence?
","The policies, processes, and procedures in IPY-01.1 include meeting the obligations for information/data exchange and related objectives and activities.
See IPY-01.1 above."
"Are interoperability and portability policies and procedures reviewed and
updated at least annually?
","All policies, processes, and procedures are reviewed at least annually. As appropriate, management review and approval are required and that is captured in the document change controls."
"Are CSCs able to programmatically retrieve their data via an application interface(s)
to enable interoperability and portability?
","As applicable, depending on the type and technical details of the product/service offering.  See the service description/data processing agreement exhibit of the specific offering for details.

IBM services supply well documented API information for ease of application development, usage, support, and information exchange.  APIs are implemented using HTTPS over TLS and other secure protocols, REST APIs, JSON, and many other secure methods of interoperable communications.

IBM services provide all customer data in mutually agreed upon formats as per standard contract language or by special request.  Unless the customer specifies otherwise, standard file formats are used such as .doc, .xls, .pdf, and flat text files"
"Are cryptographically secure and standardized network protocols implemented
for the management, import, and export of data?
",See IPY-02.1 This is addressed in the CEK set of controls above. All network communications are required to be encrypted using standard protocols and ciphers as reviewed and approved by technical authorities.
"Do agreements include provisions specifying CSC data access upon contract termination, and have the following?
a. Data format
b. Duration data will be stored
c. Scope of the data retained and made available to the CSCs
d. Data deletion policy
","This is covered in the standard Service Agreements, Data Processing Addendum, Data Security and Privacy, the product/service offering service descriptions and data processing agreement exhibits.  see IBM's Data Processing Addendum at: https://www.ibm.com/support/customer/csol/terms?id=Z126-7870

Security and privacy terms for IBM services are provided in the base contractual agreement, including Data Security and Privacy Principles for IBM Cloud Services, the Data Processing Addendum for personal data subject to the EU General Data Protection Regulation (GDPR), and relevant Transaction Documents, such as the GDPR Data Exhibit, Service Description, order document, and associated attachments.

Clients are responsible for determining whether a standard IBM service is suitable for their use and are required to review and agree with the terms of the relevant IBM service, including its stated security and privacy measures, prior to use.
"
"Are infrastructure and virtualization security policies and procedures established,
documented, approved, communicated, applied, evaluated, and maintained?
","IBM has established policies, implementing processes and procedures that cover all aspects of infrastructure and virtualization.  Virtual systems are treated the same as physical systems, with allowances made for the technical differences (for example virtual networking between containers have the same requirements as networking between virtual machines or physical machines.)  These policies, processes, and procedures are documented, reviewed and approved by the appropriate personnel on a regular basis (usually at least annually, or more often as the situation warrants), communicated to all relevant personnel, and implemented. "
"Are infrastructure and virtualization security policies and procedures reviewed
and updated at least annually?
","All policies, processes, and procedures are reviewed at least annually.  As appropriate, management review and approval are required and that is captured in the document change controls."
"Is resource availability, quality, and capacity planned and monitored in a
way that delivers required system performance, as determined by the business?
","IBM Cloud IaaS maintains capacity and resource planning in alignment with ISO27001 and these efforts are validated by external auditors to confirm IBM Cloud IaaS is ISO27001 compliant. Capacity management is also ensured for IBM Cloud Disaster Recovery

IBM Cloud Kubernetes Service  projects the anticipated capacity for the platform and ensures there is enough hardware, memory and other resources to meet that anticipated capacity.  Based on the current and anticipated capacity, warning limits are in place which trigger alerts to operations when breached. That triggers another cycle of capacity planning and new warning limits.

Contractual commitments are made public in offering service descriptions and data processing agreement exhibits that address availability, quality, capacity, and performance."
"Are communications between environments monitored?
","Communications between environments are architected and designed to have monitored control points in the network and those logs are monitored for misuse and suspicious activity. 

IBM Cloud uses SIEM tools for audit log correlation, retention, alerting, and notification. Suspicious activity is alerted on and follows incident response procedures and escalations.  

The IBM Cloud Security Operations Centre uses the QRadar SIEM as automation for reviewing, analysing, and reporting on audit events, and as part of investigation/response."
"Are communications between environments encrypted?
","This is addressed in the CEK-03.1 set of controls above. All network communications are required to be encrypted using standard protocols and ciphers as reviewed and approved by technical authorities. All access to administrative consoles, hypervisors and Virtual Machines is over TLS and all IBM Cloud platform data is encrypted in transit."
"Are communications between environments restricted to only authenticated and
authorized connections, as justified by the business?
","All product and service offerings, and related IBM internal communications, are required to document the ports, protocols, and types of information sent/received  and  must be reviewed for Continued Business Justification on at least an annual basis.  Access to audit information is restricted to authorized personnel only. In order to gain access to the auditing tools, individuals must be granted access through membership in defined processes, then be able to authenticate through a bastion host that requires two-factor authentication."
"Are network configurations reviewed at least annually?
","IBM platform review on a monthly basis all network configurations, to ensure that it only expose ports or services explicitly allowed in the Least functionality guidance.  In addition, network configuration documentation is a key part of the evidence required for other internal assessments and audits, as well as evidence for annual 3rd party external certification audits."
"Are network configurations supported by the documented justification of all
allowed services, protocols, ports, and compensating controls?
","IBM Cloud documents system hardening procedures which are based on CIS benchmark. Only the necessary services, protocols, and daemons required for the function of the system is enabled.

Mandatory benchmarked configuration settings are established and implemented for all systems.

Any deviations are recorded and mitigated within the policy scheduled time.

Results are retained for audit purposes."
"Is every host and guest OS, hypervisor, or infrastructure control plane hardened
(according to their respective best practices) and supported by technical controls
as part of a security baseline?
","IBM services based in either virtual machines or containers use baseline images that are carefully managed and updated to maintain a high level of security with all changes following strict change controls, the actual changes logged, and the logs monitored.  

When those images are deployed, any changes follow the same strict change controls and are logged and monitored as well.  The logging and monitoring automation will send alerts to the appropriate personnel if any anomalous activity is detected. 

Strict controls over the installation and/or use of any unapproved software are in place.  Strict change management is followed for any software installation, update or configuration change.

Testing of baseline images as well as systems deployed from them is conducted to determine any vulnerabilities or configuration changes.  Any discovered vulnerabilities result in an alert being sent to the appropriate personnel.

IBM’s comprehensive security incident handling process is invoked whenever there is any suspicious activity or attempt to compromise IBM service systems or networks.
"
"Are production and non-production environments separated?
","There is physical and logical separation of non-production and production environments and access to production is restricted to only those with a business need. IBM Cloud requires all changes to be approved before deployment.

Customers are responsible for segregation of their IaaS test and production environments and IBM Cloud provides all the capabilities requires to enforce that segregation at all levels, e.g. access controls and network level.

Internal boundaries are established and maintained through dedicated VLANs leveraging custom automated ACLs (Access Control Lists) or VRFs (Virtual Routing and Forwarding).  To segregate customer traffic, IBM Cloud IaaS utilizes 802.1Q VLAN tagging for traffic within its data centers. Each bare metal server or virtual server will be automatically assigned a dedicated VLAN secured with custom ACLs or VRFs within the environment and only traffic tagged with that VLAN ID will be routed to or from systems authorized to send or receive on the VLAN. Specifically, VLAN tagging is configured to segment individual customers from other customer environments and the IBM Cloud IaaS Management network."
"Are applications and infrastructures designed, developed, deployed, and configured
such that CSP and CSC (tenant) user access and intra-tenant access is appropriately
segmented, segregated, monitored, and restricted from other tenants?
","All IBM product and service offerings take such requirements into account in the architecture, design, development, deployment, and operation of all products.  In some offerings (see the relevant service descriptions/data processing agreement exhibits) IBM personnel do not even have access to the customer's environment or data, rather the customer administrates all access.

IBM Cloud compliance and trust certifications reaffirm IBM's commitment to protection of customer data and applications. Designed with secure engineering practices, the IBM Cloud platform features layered security controls across network and infrastructure. Basic security services are included; advanced services are available as options for high-security environments. https://www.ibm.com/cloud/compliance

IBM Cloud IaaS maintain stateful firewalls at the boundary of their networks to manage all ingress and egress traffic.  IBM Cloud IaaS only allow access to systems via bastion hosts

IBM services comply with all contractual, legal and regulatory obligations.

IBM Cloud services provide BYOK/KYOK functionality for customers to manage their own encryption keys for data protection and cryptographic erase. See https://cloud.ibm.com/docs/key-protect?topic=key-protect-importing-keys

IBM Cloud uses SIEM tools for audit log correlation, retention, alerting, and notification. Suspicious activity is alerted on and follows incident response procedures and escalations.  

The IBM Cloud Security Operations Centre uses the QRadar SIEM as automation for reviewing, analysing, and reporting on audit events, and as part of investigation/response.
"
"Are secure and encrypted communication channels including only up-to-date
and approved protocols used when migrating servers, services, applications, or
data to cloud environments?
","This is addressed in the CEK-03.1 set of controls above. All network communications are required to be encrypted using standard protocols and ciphers as reviewed and approved by technical authorities.  In addition to the required encryption, most migrations are executed in segregated networks to add another layer to the defense in depth."
"Are high-risk environments identified and documented?
",Environments are all classified according to their risk-levels and appropriate measures and secondary controls are put in place to mitigate risk to acceptable levels.
"Are processes, procedures, and defense-in-depth techniques defined, implemented,
and evaluated for protection, detection, and timely response to network-based
attacks?
","IBM Cloud CISO mandates having high-level and detailed network diagrams to show the logical dataflow and components. SPbD requires teams to document their system architecture including data flows across the system boundary and to maintain an up to data network architecture document or diagram. 
Theses are reviewed during IBM Cloud Security Reviews on at least an annual basis.

Akamai or IBM Cloud Internet Services (Cloudflare) are used to protect all public traffic to IBM Cloud Services from network based Denial of Service attacks. IBM Cloud Services have allow lists for traffic so they can only be reached from Akamai or CIS, depending on which service is used. Akamai and Cloudflare are responsible for testing their DoS prevention and detection mechanisms. 

IBM Cloud Network Services provides IBM CIS (Cloud Internet Service), Security Groups, Fortigate Security Appliance 10Gbps and Firewall which allows customers to implement Layered Defense Model for IaaS offerings. https://www.ibm.com/cloud/network-security

IBM Cloud IaaS ensures Denial of Service (DoS) mitigation at the border of data centres using behavioural based attack appliance.
When that appliance identifies a volumetric DoS alert, a static route is created for the IP address(es) under attack and traffic is routed to a specialist switch for packet inspection and scrubbing."
"Are logging and monitoring policies and procedures established, documented,
approved, communicated, applied, evaluated, and maintained?
","IBM maintains policies, processes, and procedures that require and implement the logging of all activities in applications, networks, and systems according to industry and internal standards.

These policies, processes, and procedures require and implement the use of a common/authoritative time source to help ensure logs from different sources are able to be correlated according to timestamps. Required fields vary according to the source and activity, but include at a minimum who, did what, to what, and when.  Logs are monitored for unusual or suspicious activities and appropriate actions taken including notifying appropriate personnel.  Logs are protected from modification, encrypted and redundantly stored, and retained according to legal, regulatory, and contractual requirements.
All policies, processes, and procedures are documented, reviewed and approved on at least an annual basis, implemented, and communicated to all stakeholders."
"Are policies and procedures reviewed and updated at least annually?
",See LOG-01.1
"Are processes, procedures, and technical measures defined, implemented, and
evaluated to ensure audit log security and retention?
",IBM Cloud retains applicable logs and data in accordance with the Cloud Service Agreement.  Local logs are not relied upon for retention as they are not as secure a solution as logs sent to an independent service with restricted access.  Local logs are sent from the information system to QRadar systems operated by the Security Operations Center.  These log systems contain enough capacity to maintain logs for in excess of one year.
"Are security-related events identified and monitored within applications and
the underlying infrastructure?
","Logging requirements are governed by the Infrastructure Services Audit and Accountability Policy and related procedures


Auditable activities include, but are not limited to:

- Account management activities
- System/server shutdown and reboot
- System/server alerts and errors
- Application/system shutdown and reboot
- Application errors and modifications
- File changes (create, update, delete)
- Security policy changes
- Configuration changes"
"Is a system defined and implemented to generate alerts to responsible stakeholders
based on security events and their corresponding metrics?
","Logging requirements are governed by the Infrastructure Services Audit and Accountability Policy and related procedures

Real-time alerts will be sent to identified personnel when an audit failure occurs as defined by rules within QRadar."
"Is access to audit logs restricted to authorized personnel, and are records
maintained to provide unique access accountability?
","Access to audit information is restricted to authorized personnel only.  In order to gain access to the auditing tools, individuals must be granted access through membership in designated Active Directory security groups and then must authenticate through a bastion host that requires two-factor authentication. Audit logs are indexed and written in such a manner that those without root access to the server cannot modify or overwrite the logs. Any changes to logs would be logged elsewhere. "
"Are security audit logs monitored to detect activity outside of typical or
expected patterns?
","The Security Operations Center (SOC) team monitors offences in real-time and analyses to determine if the offense is a false positive or whether the incident responses process should be invoked. If the offense is deemed to need further action, the SOC team will open a resilient (SIP) ticket to remediate the offense. The Security Incident in Progress (SIP) ticket will follow the standard incident management process. The SOC corrdinates all analysis and responses with the internal CSIRT program. 
The Service Team perform offline monitoring of anomalous events.
SOS (of which SOC is a part) perform monitoring whole-system monitoring for more in-depth investigations."
"Is a process established and followed to review and take appropriate and timely
actions on detected anomalies?
",See LOG-05.1
"Is a reliable time source being used across all relevant information processing
systems?
","Using NTP configurations, infrastructure services systems synchronize internal information system clocks continually with IBM Cloud’s internal time services."
"Are logging requirements for information meta/data system events established,
documented, and implemented?
","Audit logs produced are configured to include the type of event, the host that originated the log message, the date and time the event occurred, the application of command generating the event, the outcome of the event, and the identity of the user/subject that was generated/associated with the event."
"Is the scope reviewed and updated at least annually, or whenever there is
a change in the threat environment?
","The list of auditable events will be reviewed at least annually, or when notification of changes in the threat environment are received from authoritative sources."
"Are audit records generated, and do they contain relevant security information?
",See LOG-7.1
"Does the information system protect audit records from unauthorized access,
modification, and deletion?
","Per the Logical Access Management Policy, logs are protected by IAM credentials, multi-factor authentication and physical access controls with all access and actions logged and monitored. "
"Are monitoring and internal reporting capabilities established to report on
cryptographic operations, encryption, and key management policies, processes,
procedures, and controls?
",Security Operations will analyze and correlate audit records across different repositories to gain company-wide situational awareness. Reporting tools can generate reports based on categories such as those given (e.g. cryptographic operations). Security Operations will review the reports to support company processes for investigation and response to suspicious activities.
"Are key lifecycle management events logged and monitored to enable auditing
and reporting on cryptographic keys' usage?
","Internally IBM Cloud IaaS maintains cryptography keys in accordance to NIST 800-53 framework. IBM Cloud IaaS is audited on the controls put in place by third party auditors.


IBM Cloud IaaS logs and monitors all privileged access"
"Is physical access logged and monitored using an auditable access control
system?
","Physical access is controlled through key card proximity and biometric systems at each facility and server room. Access to and throughout each facility, including sensitive areas, such as electrical, generator, UPS, batteries, fire riser/sprinkler, and HVAC equipment is restricted and server room access is limited to authorized personnel."
"Are processes and technical measures for reporting monitoring system anomalies
and failures defined, implemented, and evaluated?
","Systems will be monitored for conditions that impact proper event logging.

Real-time alerts will be generated and sent to system owners in the event that storage utilization exceeds a pre-defined threshold.

Incident Response Procedures will be followed for response to audit processing failures."
"Are accountable parties immediately notified about anomalies and failures?
",Real-time alerts for anomolies and failures will be generated and sent to system owners.
"Are policies and procedures for security incident management, e-discovery,
and cloud forensics established, documented, approved, communicated, applied,
evaluated, and maintained?
","IBM has a comprehensive program to handle any information security incident, confirmed or suspected and designated personnel to contact via well-communicated channels.  Physical security at all IBM sites is manned 24x7 and is also able to quickly connect with emergency services, including law enforcement.

IBM has dedicated groups such as IBM Cybersecurity, Government & Regulator Affairs, and IBM Legal,  who maintain relationships with appropriate authorities and serve as the points of contact. "
"Are policies and procedures reviewed and updated annually?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes."
"Are policies and procedures for timely management of security incidents established,
documented, approved, communicated, applied, evaluated, and maintained?
","IBM Computer Security Incident Response Team (CSIRT) has a documented security incident plan, which includes customized tenant requirements if necessary.  CSIRT is well trained and has internal technical and organizational measures (TOMs) that include triage, preservation of evidence, chain of custody, response time windows and executive management involvement."
"Are policies and procedures for timely management of security incidents reviewed
and updated at least annually?
","At least annually, policies and procedures are reviewed and updated to ensure that the most current policy is available to company employees via dissemination by management for viewing and commitment. In addition to these annual reviews and updates, policies are updated ad hoc with administrative and content changes."
"Is a security incident response plan that includes relevant internal departments,
impacted CSCs, and other business-critical relationships (such as supply-chain)
established, documented, approved, communicated, applied, evaluated, and maintained?
","In coordiantion with IBM CSIRT, IBM Cloud IaaS internally maintains an incident response policy and plan both developed to ensure that IBM Cloud IaaS delivers world class, secure, on-demand virtual data center services. The incident response plan details purpose, roles and responsibilities, preparation, detection and analysis, containment, recovery, post-incident activity and has been developed in alignment with the NIST 800-53 standards and ISO27001 standards. Below is an overview of the 5 phased approach IBM Cloud IaaS has implemented:
1. Preparation Phase 
- Information Security Policies and Procedures are maintained and available to all security operations personnel.
- Vulnerability Management is a function of the Security Operations Center, vulnerability scans are conducted and vulnerability intelligence is collected internally as well as from outside sources. 
- Continuous Monitoring by the Security Operations Center 
- Control Auditing
- Incident Response Team Structure, in the event of an incident a response team will be formed consisting of at least one Incident response lead and one technical lead. 
- Testing of Incident Response Plan is conducted internally as well as tested by external auditors on a regular basis.
2. Detection and Analysis Phase: 
- Methods of detection, there are many methods of detections. There methods are monitored on a 24 hour basis. 
- Event Analysis will begin when an incident is suspected, should an incident be confirmed, a full investigation will begin.
- Notification will be sent to the Security Incident distribution list.
- Response
- Event Logging, all events are to be logged and are to include facts and concrete findings
- Evidence Collection will be implemented being mindful of requirements for uptime and authentication, and also for containment and eradication.
- Exit Criteria
3. Containment Phase: 
- Key Decisions, a list of key decisions is laid out for consideration.
- Incident Characterization, to best determine the course of action the type of incident must first be determined.
- Notifications, depending on the severity and scope of the incident there are internal and external notifications that may be required.
- Incident Containment
- Incident Isolation
- Root Cause Analysis and Identification
- Determine rootkit potential
- Recommend and implement additional controls
- Evaluate risk tolerance and remediate vulnerabilities
4. Recovery Phase
- Contingency Operations
- Implement additional monitoring
5. Post-Incident Activity Phase
- Post-Incident Report 
- Closure of incident happens only after the Incident report has been submitted to the appropriate personnel
- After Action includes in depth discussions to identify and recommend improvements based on lessons learned. 

Communications to CSC's are detailed in the IBM Cloud Service Agreement"
"Is the security incident response plan tested and updated for effectiveness,
as necessary, at planned intervals or upon significant organizational or environmental
changes?
","Incident response testing will be completed on at least an annual basis.
• Testing will incorporate aspects of incident response including discovery, analysis, containment, eradication, recovery, and reporting.
• Incident response testing will be documented.
• Testing will include members from other service teams and will also take into consideration contingency planning."
"Are information security incident metrics established and monitored?
","The company will continually monitor for, track metrics (including budget and manhours), and document information system security incidents."
"Are processes, procedures, and technical measures supporting business processes
to triage security-related events defined, implemented, and evaluated?
","IBM Cloud IaaS’s incident response policy covers threat events, threat sources, and scenarios that may affect the security and availability of the company’s information assets. The Network Reliability Engineering (NRE) and Security Operations Center (SOC) are responsible for monitoring the IBM Cloud IaaS environment and manage the identification, response and resolution of incidents. Through the NRE and SOC, IBM Cloud IaaS provides 24/7 monitoring of data centers. IBM Cloud IaaS utilizes a variety of tools, in combination, to monitor, mitigate, and resolve potential issues. Each data center also has its own local Data Center Control Room (DCR), which is used to monitor and resolve potential issues locally."
"Are processes, procedures, and technical measures for security breach notifications
defined and implemented?
","The NRE and SOC are responsible for maintaining the overall operation of the IBM Cloud IaaS environment, involving two broad classes of activities, problem resolution and coordination. Problem resolution entails being the single point of contact for infrastructure problems, and coordination occurs when third parties engage with IBM Cloud IaaS regarding operational issues (i.e., scheduled maintenance, interacting with transit and telecom providers about service, circuit problems, breaches, breaking Cloud Service Agreement and other unauthorized actions on the system)."
"Are security breaches and assumed security breaches reported (including any
relevant supply chain breaches) as per applicable SLAs, laws, and regulations?
","The NRE and SOC are responsible for maintaining the overall operation of the IBM Cloud IaaS environment, involving two broad classes of activities, problem resolution and coordination. Problem resolution entails being the single point of contact for infrastructure problems, and coordination occurs when third parties engage with IBM Cloud IaaS regarding operational issues (i.e., scheduled maintenance, interacting with transit and telecom providers about service, circuit problems, breaches, breaking Cloud Service Agreement and other unauthorized actions on the system)."
"Are points of contact maintained for applicable regulation authorities, national
and local law enforcement, and other legal jurisdictional authorities?
",IBM and IBM Cloud IaaS constantly monitors changing regulatory requirements and subscribes to sources for additional updates.  Any changes to the regulatory environment are reviewed and addressed accordingly.
"Are policies and procedures implementing the shared security responsibility
model (SSRM) within the organization established, documented, approved, communicated,
applied, evaluated, and maintained?
","IBM has multiple programs to assess the effectiveness of policy, standards, processes and procedures.  Many technical measures have monthly policy updates to maintain currency with the evolving information security landscape.  

IBM has a corporate Supplier Security Risk Management (SSRM) program to provide oversight of vendors.

The Supplier Security Risk Management process applies to IBM Cloud and is triggered by the procurement process with a third party supplier. It includes a risk assessment of the supplier covering both organisational risks associated with the supplier and service risks associated with any third party service being consumed by IBM Cloud. 

IBM Cloud performs a security review of any third party service delivered under IBM contract or used as part of delivering IBM Cloud services.

IBM maintains formal agreements with third party suppliers and those agreements are reviewed on an annual basis. Supplier relationships and processes are reviewed by an independent auditor as part of SOC2 compliance.

All requirements are also applicable to the supply chain and compliance is monitored.

As part of IBM’s programs, the IBM services ISMS conducts quarterly KPI testing, semi-annual internal audits and external surveillance audits.

The results of all measures and metrics, as well as the audit reports and any findings are reviewed with executive management, and appropriate measures taken to constantly improve performance and to meet legal, regulatory and contractual obligations."
"Are the policies and procedures that apply the SSRM reviewed and updated annually?
",See STA-01.1
"Is the SSRM applied, documented, implemented, and managed throughout the supply
chain for the cloud service offering?
",See STA-01.1
"Is the CSC given SSRM guidance detailing information about SSRM applicability
throughout the supply chain?
","Please reference IBM Cloud Terms of Use and IBM Cloud Services agreements:

https://www.ibm.com/support/customer/csol/terms#"
"Is the shared ownership and applicability of all CSA CCM controls delineated
according to the SSRM for the cloud service offering?
","This is delineated in the CSA CAIQ and in the Cloud Infrastructure Services PCI Responsibility Matrix.

IBM maintains formal agreements with third party suppliers and tenants with those agreements being reviewed on an annual basis.  These agreements include visibility and reporting of SLAs, data management policies, as well as information security metrics. Supplier relationships and processes are reviewed by an independent auditor as part of SOC2 compliance.  "
"Is SSRM documentation for all cloud services the organization uses reviewed
and validated?
","Internal quarterly reviews/assessments are conduct at the business unit level and reported to management for review

IBM Cloud IaaS supplier management processes are validated by external auditors as part of compliance with SOC and ISO27001.""

See STA-01.1"
"Are the portions of the SSRM the organization is responsible for implemented,
operated, audited, or assessed?
","IBM has multiple programs to assess the effectiveness of policy, standards, processes and procedures. This includes the portions of the SSRM that IBM is responsible for. Many technical measures have monthly policy updates to maintain currency with the evolving information security landscape.

As part of IBM’s programs, the IBM services ISMS conducts quarterly KPI testing, semi-annual internal audits and external surveillance audits.

The results of all measures and metrics, as well as the audit reports and any findings are reviewed with executive management, and appropriate measures taken to constantly improve performance and to meet legal, regulatory and contractual obligations."
"Is an inventory of all supply chain relationships developed and maintained?
","The supply-chain dependencies for each product or service offering are documented in the public offering data processing agreement exhibit.

"
"Are risk factors associated with all organizations within the supply chain
periodically reviewed by CSPs?
","IBM Supplier Security Risk Management ensures all third parties or suppliers have a risk assessment and have a set of security policies covering required security controls including segregation of duties, role-based access controls based on least privilege principles.

Contracts with those suppliers include Data Processing Agreements and Data Security Requirements that the supplier must comply with.
"
"Do service agreements between CSPs and CSCs (tenants) incorporate at least the following mutually agreed upon provisions and/or terms?
• Scope, characteristics, and location of business relationship and services offered
• Information security requirements (including SSRM)
• Change management process
• Logging and monitoring capability
• Incident management and communication procedures
• Right to audit and third-party assessment
• Service termination
• Interoperability and portability requirements
• Data privacy
","Please reference IBM Cloud Terms of Use and IBM Cloud Services agreements:

https://www.ibm.com/support/customer/csol/terms#"
